"","idencuesta","estrato","estrato_name","cod_zona","ola_w03","ola_w06","pct_hacinamiento","pct_viv_precaria","pct_desempleo","low_educ","high_educ","youth_nini","teen_pregnancy","pop_density","pct_migrant","insecurity","comuna","nse_barrio","nse_barrio_norm"
"1199",13113013,1,"Greater Santiago","13113031002",1,1,0.0122615803814714,0.0177111716621253,0.041740674955595,0.10261780104712,0.527225130890052,0.0486111111111111,0,6446.75258157328,0.0158597662771285,0.289533819583333,13113,3.78431486787598,0.96568969987788
"1200",13113015,1,"Greater Santiago","13113031002",1,1,0.0122615803814714,0.0177111716621253,0.041740674955595,0.10261780104712,0.527225130890052,0.0486111111111111,0,6446.75258157328,0.0158597662771285,0.289533819583333,13113,3.78431486787598,0.96568969987788
"1201",13113034,1,"Greater Santiago","13113071005",1,1,0.016260162601626,0.0382113821138211,0.0402245088868101,0.201950298836112,0.0748663101604278,0.13290113452188,0.0198019801980198,5636.87529657317,0.00120312813314618,0.434717087607143,13113,1.77438784075039,0.793421728666908
"1202",13114021,1,"Greater Santiago","13114031001",1,1,0.0129659643435981,0.0145867098865478,0.0443285528031291,0.0738613048830529,0.595814526056627,0.0711974110032362,0,6991.23736021655,0.0382037533512064,0.41826569,13114,3.80079334720401,0.967102046776136
"1203",13114042,1,"Greater Santiago","13114071001",1,1,0.102841677943166,0.123139377537212,0.0629722921914358,0.409905660377358,0.147641509433962,0.15843023255814,0.029535864978903,12330.4811975407,0.00904225871932091,0.502090028550725,13114,-0.234930432730677,0.621205932860263
"1204",13114044,1,"Greater Santiago","13114071001",1,1,0.102841677943166,0.123139377537212,0.0629722921914358,0.409905660377358,0.147641509433962,0.15843023255814,0.029535864978903,12330.4811975407,0.00904225871932091,0.502090028550725,13114,-0.234930432730677,0.621205932860263
"1205",13114061,1,"Greater Santiago","13114101002",1,1,0.00973782771535581,0.00749063670411985,0.0461454940282302,0.0911631156129934,0.588543485853999,0.031496062992126,0,11952.7525307404,0.0255673656995116,0.31625590775,13114,4.00616996035574,0.98470458259179
"1206",13116012,1,"Greater Santiago","13116011005",1,1,0.113744075829384,0.207345971563981,0.0805931656995487,0.455,0.06,0.176039119804401,0.0476190476190476,6386.06663101666,0.0525974025974026,0.423547679891304,13116,-1.56966591107338,0.50680766374189
"1207",13116013,1,"Greater Santiago","13116011005",1,1,0.113744075829384,0.207345971563981,0.0805931656995487,0.455,0.06,0.176039119804401,0.0476190476190476,6386.06663101666,0.0525974025974026,0.423547679891304,13116,-1.56966591107338,0.50680766374189
"1208",13116014,1,"Greater Santiago","13116011005",1,1,0.113744075829384,0.207345971563981,0.0805931656995487,0.455,0.06,0.176039119804401,0.0476190476190476,6386.06663101666,0.0525974025974026,0.423547679891304,13116,-1.56966591107338,0.50680766374189
"1209",13116015,1,"Greater Santiago","13116011005",1,1,0.113744075829384,0.207345971563981,0.0805931656995487,0.455,0.06,0.176039119804401,0.0476190476190476,6386.06663101666,0.0525974025974026,0.423547679891304,13116,-1.56966591107338,0.50680766374189
"1210",13116018,1,"Greater Santiago","13116011005",1,1,0.113744075829384,0.207345971563981,0.0805931656995487,0.455,0.06,0.176039119804401,0.0476190476190476,6386.06663101666,0.0525974025974026,0.423547679891304,13116,-1.56966591107338,0.50680766374189
"1211",13116021,1,"Greater Santiago","13116041003",1,1,0.110526315789474,0.196842105263158,0.103081827842721,0.554749340369393,0.0349604221635884,0.245059288537549,0.0738636363636364,20429.094714809,0.0271516393442623,0.5059337225,13116,-3.04326957712199,0.380507200842855
"1212",13116025,1,"Greater Santiago","13116041003",1,1,0.110526315789474,0.196842105263158,0.103081827842721,0.554749340369393,0.0349604221635884,0.245059288537549,0.0738636363636364,20429.094714809,0.0271516393442623,0.5059337225,13116,-3.04326957712199,0.380507200842855
"1213",13116031,1,"Greater Santiago","13116071004",1,1,0.129299363057325,0.152866242038217,0.0849093014280201,0.489723600283487,0.0387432081266241,0.197007481296758,0.0571428571428571,13746.5768925495,0.00420398464631694,0.476202214027778,13116,-1.97554011890268,0.472020765806791
"1214",13117012,1,"Greater Santiago","13117021005",1,1,0.116071428571429,0.0616071428571429,0.0765810276679842,0.471767457400601,0.0350818576678917,0.179661016949153,0.0855855855855856,24147.2725033863,0.0418154003059663,0.5062498625,13117,-1.61112590298042,0.503254187125148
"1215",13117013,1,"Greater Santiago","13117021005",1,1,0.116071428571429,0.0616071428571429,0.0765810276679842,0.471767457400601,0.0350818576678917,0.179661016949153,0.0855855855855856,24147.2725033863,0.0418154003059663,0.5062498625,13117,-1.61112590298042,0.503254187125148
"1216",13117022,1,"Greater Santiago","13117041004",1,1,0.0278044103547459,0.0115052732502397,0.0631163708086785,0.218272171253823,0.261850152905199,0.106870229007634,0,10664.467807325,0.0199742268041237,0.498546220921053,13117,2.04567987385001,0.816673780864349
"1217",13118021,1,"Greater Santiago","13118031003",1,1,0.0449640287769784,0.0341726618705036,0.0648558758314856,0.327645051194539,0.145240803943876,0.126436781609195,0.027972027972028,7923.23431263617,0.0189742069374444,0.496185694642857,13118,0.843261844972773,0.713616251119895
"1218",13118023,1,"Greater Santiago","13118031003",1,1,0.0449640287769784,0.0341726618705036,0.0648558758314856,0.327645051194539,0.145240803943876,0.126436781609195,0.027972027972028,7923.23431263617,0.0189742069374444,0.496185694642857,13118,0.843261844972773,0.713616251119895
"1219",13118026,1,"Greater Santiago","13118031003",1,1,0.0449640287769784,0.0341726618705036,0.0648558758314856,0.327645051194539,0.145240803943876,0.126436781609195,0.027972027972028,7923.23431263617,0.0189742069374444,0.496185694642857,13118,0.843261844972773,0.713616251119895
"1220",13118027,1,"Greater Santiago","13118031003",1,1,0.0449640287769784,0.0341726618705036,0.0648558758314856,0.327645051194539,0.145240803943876,0.126436781609195,0.027972027972028,7923.23431263617,0.0189742069374444,0.496185694642857,13118,0.843261844972773,0.713616251119895
"1221",13118033,1,"Greater Santiago","13118051002",1,1,0.0294759825327511,0.0513100436681223,0.0550256786500367,0.163124335812965,0.383103081827843,0.110687022900763,0,5118.59918476193,0.0489335006273526,0.414845257291667,13118,2.43499661399253,0.85004156192192
"1222",13118034,1,"Greater Santiago","13118051002",1,1,0.0294759825327511,0.0513100436681223,0.0550256786500367,0.163124335812965,0.383103081827843,0.110687022900763,0,5118.59918476193,0.0489335006273526,0.414845257291667,13118,2.43499661399253,0.85004156192192
"1223",13118042,1,"Greater Santiago","13118061006",1,1,0.048951048951049,0.0734265734265734,0.062406015037594,0.317376735280038,0.189564384873145,0.16044776119403,0.0280373831775701,12363.233461059,0.00485436893203883,0.401281719375,13118,0.636801977172573,0.695920871097422
"1224",13118043,1,"Greater Santiago","13118061006",1,1,0.048951048951049,0.0734265734265734,0.062406015037594,0.317376735280038,0.189564384873145,0.16044776119403,0.0280373831775701,12363.233461059,0.00485436893203883,0.401281719375,13118,0.636801977172573,0.695920871097422
"1225",13119012,1,"Greater Santiago","13119021003",1,1,0.0476858345021038,0.0575035063113604,0.0735294117647059,0.334128245892952,0.091679915209327,0.141546526867628,0.0304347826086957,25022.4357282373,0.0080168776371308,0.500894238030303,13119,0.316790302494012,0.668493128091478
"1226",13119013,1,"Greater Santiago","13119021003",1,1,0.0476858345021038,0.0575035063113604,0.0735294117647059,0.334128245892952,0.091679915209327,0.141546526867628,0.0304347826086957,25022.4357282373,0.0080168776371308,0.500894238030303,13119,0.316790302494012,0.668493128091478
"1227",13119017,1,"Greater Santiago","13119021003",1,1,0.0476858345021038,0.0575035063113604,0.0735294117647059,0.334128245892952,0.091679915209327,0.141546526867628,0.0304347826086957,25022.4357282373,0.0080168776371308,0.500894238030303,13119,0.316790302494012,0.668493128091478
"1228",13119027,1,"Greater Santiago","13119021010",1,1,0.0284391534391534,0.0489417989417989,0.0754012691302725,0.270692974013474,0.147497593840231,0.106901217861976,0.0368663594470046,14398.2387396809,0.00431372549019608,0.46976233240566,13119,0.858241396184369,0.714900127032824
"1229",13119028,1,"Greater Santiago","13119021010",1,1,0.0284391534391534,0.0489417989417989,0.0754012691302725,0.270692974013474,0.147497593840231,0.106901217861976,0.0368663594470046,14398.2387396809,0.00431372549019608,0.46976233240566,13119,0.858241396184369,0.714900127032824
"1230",13119043,1,"Greater Santiago","13119071001",1,1,0.120909090909091,0.151818181818182,0.085672082717873,0.497533706017757,0.0328839197632358,0.23728813559322,0.0790697674418605,24038.4615384615,0.0121428571428571,0.573888321824324,13119,-2.48399341676544,0.428441960757531
"1231",13119045,1,"Greater Santiago","13119071001",1,1,0.120909090909091,0.151818181818182,0.085672082717873,0.497533706017757,0.0328839197632358,0.23728813559322,0.0790697674418605,24038.4615384615,0.0121428571428571,0.573888321824324,13119,-2.48399341676544,0.428441960757531
"1232",13119053,1,"Greater Santiago","13119071015",1,1,0.0427493713327745,0.0318524727577536,0.0545799715234931,0.310877192982456,0.0785964912280702,0.155818540433925,0.0721153846153846,11118.0634145284,0.0166381208710546,0.447800231574074,13119,0.266003048648099,0.664140225192349
"1233",13119056,1,"Greater Santiago","13119071015",1,1,0.0427493713327745,0.0318524727577536,0.0545799715234931,0.310877192982456,0.0785964912280702,0.155818540433925,0.0721153846153846,11118.0634145284,0.0166381208710546,0.447800231574074,13119,0.266003048648099,0.664140225192349
"1234",13119057,1,"Greater Santiago","13119071015",1,1,0.0427493713327745,0.0318524727577536,0.0545799715234931,0.310877192982456,0.0785964912280702,0.155818540433925,0.0721153846153846,11118.0634145284,0.0166381208710546,0.447800231574074,13119,0.266003048648099,0.664140225192349
"1235",13119066,1,"Greater Santiago","13119071004",1,1,0.0263157894736842,0.0377867746288799,0.0638458632414054,0.253985122210414,0.141870350690755,0.110606060606061,0.0426356589147287,11196.5871122441,0.0110562685093781,0.44558837109375,13119,1.08672620073475,0.734483232887528
"1236",13119071,1,"Greater Santiago","13119101001",1,1,0.0548819400127632,0.174218251435865,0.0700227100681302,0.351311595979407,0.17847511645011,0.153609831029186,0.0276497695852535,8417.70750291781,0.0250426863972681,0.461546128913043,13119,0.0563499004976242,0.646171153677586
"1237",13119084,1,"Greater Santiago","13119141001",1,1,0.05078125,0.11484375,0.055627425614489,0.28171048829818,0.179138977174227,0.114525139664804,0.0139372822299652,11657.2851547301,0.00600801068090788,0.368870015833333,13119,1.16689456419695,0.74135434867559
